reference,manufacturer,part_candidate,ohm,status
R_LOGIC_UV_TOP,Vishay,TNPW060340K2BEEA,40200,ordering_code_candidate_not_released
R_LOGIC_UV_BOTTOM,Vishay,TNPW060310K0BEEA,10000,ordering_code_candidate_not_released
R_LOGIC_OV_TOP,Vishay,TNPW0603124KBEEA,124000,ordering_code_candidate_not_released
R_LOGIC_OV_BOTTOM,Vishay,TNPW060310K0BEEA,10000,ordering_code_candidate_not_released
R_LOGIC_ILIM,Vishay,TNPW0603118KBEEA,118000,ordering_code_candidate_not_released
R_LOGIC_INPUT_BLEED,Vishay,TNPW0603100KBEEA,100000,ordering_code_candidate_not_released
