episode,side,start_s,end_s,air_s,peak_mm,supported_fraction,next_ground_s
1,right,6.88,6.96,0.08,2.3614344552241002,1.0,1.24
1,right,8.2,8.34,0.14,3.5545243259264,1.0,0.18
1,right,8.52,8.6,0.08,3.1821083713754,1.0,1.26
1,right,9.86,9.94,0.08,0.4568080623776,1.0,1.5
1,right,11.44,11.54,0.1,1.967800237453,1.0,0.16
1,right,11.7,11.76,0.06,0.6202423171312,1.0,0.26
2,left,1.04,1.22,0.18,0.9266354786646,1.0,0.02
2,left,1.24,1.26,0.02,0.01985612739312595,1.0,0.04
2,left,1.3,1.5,0.2,2.4392774471,1.0,1.28
2,left,2.78,2.9,0.12,1.1535533697281,1.0,0.1
2,left,3.0,3.04,0.04,0.397827966528,1.0,1.08
2,left,4.12,4.14,0.02,0.06915499966262707,1.0,0.14
2,left,4.28,4.3,0.02,0.0018230324833629769,1.0,0.16
2,left,4.46,4.48,0.02,0.07431042740419988,1.0,0.02
2,left,4.5,4.64,0.14,0.9877719625497999,1.0,0.02
2,left,4.66,4.68,0.02,0.26188301250859997,1.0,0.08
2,left,4.76,4.78,0.02,0.009006464281700963,1.0,0.8
2,left,5.58,5.62,0.04,0.013556098264256612,1.0,0.16
2,left,5.78,5.8,0.02,0.01535565139100482,1.0,0.06
2,left,5.86,5.88,0.02,0.033861300197736074,1.0,0.02
2,left,5.9,5.92,0.02,0.13198953699180002,1.0,0.02
2,left,5.94,5.98,0.04,0.47401070553779995,1.0,0.1
2,left,6.08,6.12,0.04,0.8420338864096,1.0,1.26
2,left,7.38,7.4,0.02,0.1467299627216,1.0,0.06
2,left,7.46,7.52,0.06,0.1395152523079,1.0,0.08
2,left,7.6,7.640000000000001,0.04,1.1092162262299,1.0,0.02
2,left,7.66,7.68,0.02,-0.22238624651480002,1.0,1.1400000000000001
2,left,8.82,8.84,0.02,0.00018464228233351645,1.0,0.26
2,left,9.1,9.12,0.02,0.00205395020209595,1.0,0.02
2,left,9.14,9.16,0.02,-0.06018171662404252,1.0,1.26
2,left,10.42,10.44,0.02,0.011460188645427432,1.0,0.02
2,left,10.46,10.48,0.02,-0.01136157362578629,1.0,0.18
2,left,10.66,10.68,0.02,-0.03700098206238772,1.0,0.06
2,left,10.74,10.76,0.02,-0.086430077165996,1.0,0.02
2,left,10.78,10.8,0.02,-0.1188024536029,1.0,0.02
2,left,10.82,10.84,0.02,-0.06995466538843023,1.0,0.9400000000000001
2,left,11.78,11.8,0.02,0.053692460164203766,1.0,0.18
2,left,11.98,12.0,0.02,0.03366977894577079,1.0,0.02
2,right,1.56,1.58,0.02,0.011287171629497088,1.0,0.16
2,right,1.74,1.8,0.06,0.3518682891142,1.0,0.22
2,right,2.02,2.08,0.06,0.5522150108436,1.0,1.28
2,right,3.36,3.58,0.22,3.6628208117273,1.0,0.12
2,right,3.7,3.82,0.12,1.6808874426954,1.0,1.1400000000000001
2,right,4.96,5.0200000000000005,0.06,0.2094796348905,1.0,0.22
2,right,5.24,5.26,0.02,0.01846636958334653,1.0,1.26
2,right,6.5200000000000005,6.58,0.06,0.2170488221962,1.0,0.2
2,right,6.78,6.84,0.06,0.3301216219694,1.0,0.16
2,right,7.0,7.0600000000000005,0.06,1.2276273173030001,1.0,2.7800000000000002
2,right,9.84,9.92,0.08,0.7527672160043,1.0,1.46
2,right,11.38,11.44,0.06,0.4015975525853,1.0,0.2
2,right,11.64,11.72,0.08,1.1257510057459998,1.0,0.3
3,left,1.06,1.38,0.32,2.0621990001259,1.0,0.08
3,left,1.46,1.58,0.12,3.8445960375259,1.0,0.86
3,left,2.44,2.46,0.02,-0.0971897962661495,1.0,0.02
3,left,2.48,2.54,0.06,0.005044019609891891,1.0,0.02
3,left,2.56,2.7,0.14,0.1976972566596,1.0,0.02
3,left,2.72,2.94,0.22,0.764049586581,1.0,0.02
3,left,2.96,3.1,0.14,3.2469682299095997,1.0,0.9
3,left,4.0,4.0200000000000005,0.02,0.0008529597138712784,1.0,0.04
3,left,4.0600000000000005,4.08,0.02,0.06633404666276602,1.0,0.02
3,left,4.1,4.14,0.04,0.1473549593144,1.0,0.06
3,left,4.2,4.54,0.34,0.5101999188795,1.0,1.02
3,left,5.5600000000000005,5.62,0.06,0.2220684657085,1.0,0.04
3,left,5.66,5.68,0.02,-0.1371686139771,1.0,0.1
3,left,5.78,5.98,0.2,0.8287874638715,1.0,0.06
3,left,6.04,6.0600000000000005,0.02,-0.0838286045469227,1.0,0.02
3,left,6.08,6.26,0.18,1.8819379106396,1.0,0.02
3,left,6.28,6.3,0.02,0.011399282319043188,1.0,0.92
3,left,7.22,7.3,0.08,0.30971493490790003,1.0,0.08
3,left,7.38,7.44,0.06,0.43293780879189997,1.0,0.22
3,left,7.66,7.78,0.12,1.8581454285360999,1.0,1.04
3,left,8.82,8.84,0.02,0.0704045726271068,1.0,0.12
3,left,8.96,9.0,0.04,0.6188040637243,1.0,0.02
3,left,9.02,9.04,0.02,0.08894355951395619,1.0,0.08
3,left,9.12,9.26,0.14,3.3905760246159002,1.0,1.2
3,left,10.46,10.62,0.16,1.8105307477218,1.0,0.08
3,left,10.7,10.82,0.12,0.549076249997,1.0,0.06
3,left,10.88,10.96,0.08,1.5682322296556999,1.0,1.06
3,right,1.66,1.68,0.02,0.3807238165008,1.0,0.04
3,right,1.72,1.76,0.04,0.7184607443005,1.0,0.12
3,right,1.88,1.94,0.06,0.2684331516272,1.0,0.02
3,right,1.96,1.98,0.02,0.0014807877093993282,1.0,1.44
3,right,3.42,3.54,0.12,3.3658917672511,1.0,0.14
3,right,3.68,3.74,0.06,0.6507135440366,1.0,1.24
3,right,4.98,5.0600000000000005,0.08,1.5189254154988001,1.0,0.16
